rank,symbol,setup_type,entry_trigger,invalidation,risk_management,atr,tight,balanced,wide,stop_reference_source,stop_reference_price,stop_tight,stop_balanced,stop_wide
1,SMCI,ORB or VWAP-Hold,Break and hold above opening range high (gap-up continuation).,Fill of pre-market gap below VWAP or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,0.0,0.0,0.0,0.0,price,32.16,,,
2,PWR,ORB or VWAP-Hold,Break and hold above opening range high (gap-up continuation).,Fill of pre-market gap below VWAP or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,0.0,0.0,0.0,0.0,price,554.0,,,
3,AMD,ORB or VWAP-Hold,Break and hold above opening range high (gap-up continuation).,Fill of pre-market gap below VWAP or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,0.0,0.0,0.0,0.0,price,203.37,,,
4,META,ORB or VWAP-Hold,Break and hold above opening range high OR first pullback reclaim above VWAP.,Loss of VWAP after entry or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,0.0,0.0,0.0,0.0,price,644.78,,,
5,TSLA,ORB or VWAP-Hold,Break and hold above opening range high OR first pullback reclaim above VWAP.,Loss of VWAP after entry or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,0.0,0.0,0.0,0.0,price,411.71,,,
