rank,symbol,setup_type,entry_trigger,invalidation,risk_management,atr,tight,balanced,wide,stop_reference_source,stop_reference_price,stop_tight,stop_balanced,stop_wide
1,SMCI,ORB or VWAP-Hold,Break and hold above opening range high (gap-up continuation).,Fill of pre-market gap below VWAP or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,2.26,2.26,3.39,4.52,price,32.16,29.9,28.77,27.64
2,PWR,ORB or VWAP-Hold,Break and hold above opening range high (gap-up continuation).,Fill of pre-market gap below VWAP or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,21.9436,21.9436,32.9154,43.8872,price,554.0,532.0564,521.0846,510.1128
3,AMD,ORB or VWAP-Hold,Break and hold above opening range high (gap-up continuation).,Fill of pre-market gap below VWAP or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,14.1,14.1,21.15,28.2,price,203.37,189.27,182.22,175.17
4,META,ORB or VWAP-Hold,Break and hold above opening range high OR first pullback reclaim above VWAP.,Loss of VWAP after entry or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,21.22,21.22,31.83,42.44,price,644.78,623.56,612.95,602.34
5,TSLA,ORB or VWAP-Hold,Break and hold above opening range high OR first pullback reclaim above VWAP.,Loss of VWAP after entry or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,16.1407,16.1407,24.2111,32.2814,price,411.71,395.5693,387.4989,379.4286
