rank,symbol,setup_type,entry_trigger,invalidation,risk_management,atr,tight,balanced,wide,stop_reference_source,stop_reference_price,stop_tight,stop_balanced,stop_wide
1,GOOGL,ORB or VWAP-Hold,Break and hold above opening range high (gap-up continuation).,Fill of pre-market gap below VWAP or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,9.4344,9.4344,14.1516,18.8688,price,314.98,305.5456,300.8284,296.1112
2,AMZN,ORB or VWAP-Hold,Break and hold above opening range high (gap-up continuation).,Fill of pre-market gap below VWAP or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,6.8023,6.8023,10.2035,13.6046,price,210.11,203.3077,199.9065,196.5054
3,META,ORB or VWAP-Hold,Break and hold above opening range high (gap-up continuation).,Fill of pre-market gap below VWAP or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,20.7335,20.7335,31.1002,41.467,price,655.66,634.9265,624.5598,614.193
4,NVDA,ORB or VWAP-Hold,Break and hold above opening range high (gap-up continuation).,Fill of pre-market gap below VWAP or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,6.0528,6.0528,9.0792,12.1056,price,189.82,183.7672,180.7408,177.7144
5,SMCI,ORB or VWAP-Hold,Break and hold above opening range high OR first pullback reclaim above VWAP.,Loss of VWAP after entry or close below opening range low.,Move stop to break-even at +1R; scale partial at +1.5R.,1.9097,1.9097,2.8645,3.8194,price,32.42,30.5103,29.5555,28.6006
