trade_date,as_of_label,watchlist_rank,symbol,exchange,asset_type,watchlist_score,research_score,previous_close,premarket_last,prev_close_to_premarket_pct,premarket_volume,premarket_trade_count,selected_top20pct,is_eligible_label,eligibility_reason,present_in_eligible,excluded_reason,l1_weight,l1_quantity,l1_limit_buy,l1_take_profit,l1_stop_loss,l1_trailing_stop_pct,l1_trailing_stop_anchor,l2_weight,l2_quantity,l2_limit_buy,l2_take_profit,l2_stop_loss,l2_trailing_stop_pct,l2_trailing_stop_anchor,l3_weight,l3_quantity,l3_limit_buy,l3_take_profit,l3_stop_loss,l3_trailing_stop_pct,l3_trailing_stop_anchor
2026-01-26,15:29:59 Europe/Berlin,1,USAR,NASDAQ,listed_equity_issue,26.22981,28.585755,24.76,30.62,23.667205169628435,2610.0,,True,True,eligible,True,,0.25,81,30.4975,30.955,30.0095,0.01,30.1925,0.35,115,30.3444,30.7996,29.8589,0.01,30.041,0.4,132,30.0995,30.551,29.6179,0.01,29.7985
2026-01-26,15:29:59 Europe/Berlin,2,TMQ,AMEX,listed_equity_issue,16.081857,18.019893,6.22,7.08,13.826366559485525,1016.0,,True,True,eligible,True,,0.25,354,7.0517,7.1575,6.9389,0.01,6.9812,0.35,498,7.0163,7.1215,6.904,0.01,6.9461,0.4,574,6.9596,7.064,6.8482,0.01,6.89
2026-01-26,15:29:59 Europe/Berlin,3,LAC,NYSE,listed_equity_issue,7.995667,10.204923,6.44,6.81,5.745341614906829,1000.0,,True,True,eligible,True,,0.25,368,6.7828,6.8845,6.6743,0.01,6.715,0.35,518,6.7487,6.8499,6.6407,0.01,6.6812,0.4,597,6.6942,6.7946,6.5871,0.01,6.6273
2026-01-26,15:29:59 Europe/Berlin,4,CDE,NYSE,listed_equity_issue,7.652032,8.755326,26.11,27.53,5.438529299119121,893.0,,True,True,eligible,True,,0.25,91,27.4199,27.8312,26.9812,0.01,27.1457,0.35,128,27.2822,27.6914,26.8457,0.01,27.0094,0.4,147,27.062,27.4679,26.629,0.01,26.7914
2026-01-27,15:29:59 Europe/Berlin,1,CYN,NASDAQ,listed_equity_issue,34.433087,39.428741,2.075,2.73,31.566265060240962,6643.0,,True,True,eligible,True,,0.25,919,2.7191,2.7599,2.6756,0.01,2.6919,0.35,1293,2.7054,2.746,2.6621,0.01,2.6783,0.4,1490,2.6836,2.7239,2.6407,0.01,2.6568
2026-01-27,15:29:59 Europe/Berlin,2,HIND,NASDAQ,listed_equity_issue,19.709766,25.450042,3.11,3.66,17.684887459807076,500.0,,True,True,eligible,True,,0.25,685,3.6454,3.7001,3.5871,0.01,3.6089,0.35,964,3.6271,3.6815,3.5691,0.01,3.5908,0.4,1111,3.5978,3.6518,3.5402,0.01,3.5618
2026-01-27,15:29:59 Europe/Berlin,3,NAMM,NASDAQ,listed_equity_issue,18.479014,22.115966,4.5,5.22,15.999999999999993,2019.0,,True,True,eligible,True,,0.25,480,5.1991,5.2771,5.1159,0.01,5.1471,0.35,676,5.173,5.2506,5.0902,0.01,5.1213,0.4,779,5.1313,5.2083,5.0492,0.01,5.08
2026-01-27,15:29:59 Europe/Berlin,4,RR,NASDAQ,listed_equity_issue,13.539137,16.025707,3.8,4.22,11.05263157894736,2066.0,,True,True,eligible,True,,0.25,594,4.2031,4.2661,4.1359,0.01,4.1611,0.35,836,4.182,4.2447,4.1151,0.01,4.1402,0.4,964,4.1483,4.2105,4.0819,0.01,4.1068
2026-01-29,15:29:59 Europe/Berlin,1,DCX,NASDAQ,listed_equity_issue,27.803216,31.698805,3.07,3.86,25.732899022801313,575.0,,True,True,eligible,True,,0.25,650,3.8446,3.9023,3.7831,0.01,3.8062,0.35,914,3.8253,3.8827,3.7641,0.01,3.787,0.4,1054,3.7944,3.8513,3.7337,0.01,3.7565
2026-01-30,15:29:59 Europe/Berlin,1,FEED,NASDAQ,listed_equity_issue,18.110101,22.131286,3.69,4.26,15.44715447154472,3552.0,,True,True,eligible,True,,0.25,589,4.243,4.3066,4.1751,0.01,4.2006,0.35,829,4.2217,4.285,4.1542,0.01,4.1795,0.4,955,4.1876,4.2504,4.1206,0.01,4.1457
