rank,symbol,score,price,gap_pct,gap_type,gap_available,gap_from_ts,gap_to_ts,gap_reason,volume,avg_volume,rel_volume,macro_bias,news_catalyst_score,long_allowed,no_trade_reason
1,MSFT,1.9615,426.53009,0.402545,PREMARKET_INDICATIVE,True,2026-04-27T20:00:00+00:00,2026-04-28T14:03:03+00:00,ok,4905100.0,0.0,,0.0,1.0,True,earnings_risk_window
2,TSLA,1.9263,380.03,0.38964,PREMARKET_INDICATIVE,True,2026-04-27T20:00:00+00:00,2026-04-28T14:03:03+00:00,ok,10899907.0,0.0,,0.0,1.25,True,
3,NVDA,1.1937,212.24899,-2.0133,PREMARKET_INDICATIVE,True,2026-04-27T20:00:00+00:00,2026-04-28T14:03:03+00:00,ok,44308777.0,0.0,,0.0,2.0,True,
4,AMZN,1.0152,259.83,-0.494026,PREMARKET_INDICATIVE,True,2026-04-27T20:00:00+00:00,2026-04-28T14:03:01+00:00,ok,7133578.40895,0.0,,0.0,1.15,True,earnings_risk_window
5,GOOGL,0.9753,348.88,-0.416738,PREMARKET_INDICATIVE,True,2026-04-27T20:00:00+00:00,2026-04-28T14:03:05+00:00,ok,5481741.0,0.0,,0.0,0.0,True,spread_too_wide|earnings_risk_window
6,PLTR,0.3635,142.81,-0.202655,PREMARKET_INDICATIVE,True,2026-04-27T20:00:00+00:00,2026-04-28T14:03:03+00:00,ok,5779074.0,0.0,,0.0,0.3,True,spread_too_wide
7,META,0.1909,673.295,-0.784681,PREMARKET_INDICATIVE,True,2026-04-27T20:00:00+00:00,2026-04-28T14:03:03+00:00,ok,1896452.0,0.0,,0.0,1.0,True,earnings_risk_window
8,PWR,-0.6681,624.41,-2.01952,PREMARKET_INDICATIVE,True,2026-04-27T20:00:00+00:00,2026-04-28T14:02:50+00:00,ok,128959.0,0.0,,0.0,0.0,True,
9,AMD,-2.0659,321.79,-3.837074,PREMARKET_INDICATIVE,True,2026-04-27T20:00:00+00:00,2026-04-28T14:03:03+00:00,ok,14242528.0,0.0,,0.0,1.95,True,spread_too_wide
10,SMCI,-3.0341,26.985,-3.105925,PREMARKET_INDICATIVE,True,2026-04-27T20:00:00+00:00,2026-04-28T14:03:03+00:00,ok,4398772.0,0.0,,0.0,0.0,True,spread_too_wide
